Title,Release_Date,Expired_Date,Activity_Code,Organization,Parent_Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
"Notice of Change in the Expiration Date for PAR-21-228, ""NIMH Research Education Mentoring Program for HIV/AIDS Researchers (R25 Clinical Trial Not Allowed)""",9/22/2023,,,NIMH,NIH,None,NOT-MH-23-395,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-23-395.html
"Specialized Programs of Research Excellence (SPOREs) in Human Cancers for Years 2024, 2025, and 2026 (P50 Clinical Trial Required)",9/22/2023,9/25/2026,P50,NCI,NIH,NIDCR,PAR-23-284,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-23-284.html
Notice of Pre-Application and Technical Assistance Webinar for RFA-MH-24-320 and RFA-MH-24-322,9/22/2023,,,NIMH,NIH,None,NOT-MH-23-390,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-23-390.html
Request for Information (RFI): Inviting Input on NCATS Strategic Plan for 2024-2029,9/22/2023,,,NCATS,NIH,None,NOT-TR-23-027,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-TR-23-027.html
HEAL Initiative:  Research to Increase Implementation of Substance Use Preventive Services (R61/R33 Clinical Trial Optional),9/22/2023,1/16/2026,R61/R33,NIDA,NIH,"NCCIH, NIA, OBSSR, ODP",RFA-DA-24-066,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-24-066.html
HEAL Initiative: Research to Increase Implementation of Substance Use Preventive Services (R01 Clinical Trial Optional),9/22/2023,1/16/2026,R01,NIDA,NIH,"NCCIH, NIA, OBSSR, ODP",RFA-DA-24-067,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-24-067.html
Notice of Pre-Application Webinar for Funding Opportunities RFA-AG-24-030 and RFA-AG-24-031,9/21/2023,,,NIA,NIH,None,NOT-AG-23-053,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AG-23-053.html
Single Cell Opioid Responses in the Context of HIV (SCORCH) Program: Data Mining and Functional Validation (R21 Clinical Trial Not Allowed),9/21/2023,8/13/2024,R21,NIDA,NIH,None,RFA-DA-25-017,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-25-017.html
Single Cell Opioid Responses in the Context of HIV (SCORCH) Program:  Data Mining and Functional Validation (R01 Clinical Trial Not Allowed),9/21/2023,8/13/2024,R01,NIDA,NIH,None,RFA-DA-25-016,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-25-016.html
"Single Source: Single Cell Opioid Responses in the Context of HIV (SCORCH) Program: Data Coordination, Analysis, and Scientific Outreach (UM1 Clinical Trial Not Allowed)",9/21/2023,8/13/2024,UM1,NIDA,NIH,None,RFA-DA-25-015,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-25-015.html
Findings of Research Misconduct,9/21/2023,,,OD,NIH,None,NOT-OD-23-186,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-186.html
Findings of Research Misconduct,9/21/2023,,,OD,NIH,None,NOT-OD-23-187,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-187.html
"Improving Choice, Use, and Equitable Implementation of Biomedical HIV Prevention for Women  (R34 Clinical Trial Optional)",9/20/2023,11/22/2023,R34,NIMH,NIH,"OAR, ORWH, SGMRO",RFA-MH-24-332,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-24-332.html
"Improving Choice, Use, and Equitable Implementation of Biomedical HIV Prevention for Women (R01 Clinical Trial Optional)",9/20/2023,11/22/2023,R01,NIMH,NIH,"NICHD, OAR, ORWH, SGMRO",RFA-MH-24-330,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-24-330.html
"Improving Choice, Use, and Equitable Implementation of Biomedical HIV Prevention for Women  (R21 Clinical Trial Optional)",9/20/2023,11/22/2023,R21,NIMH,NIH,"NICHD, OAR, ORWH, SGMRO",RFA-MH-24-331,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-24-331.html
"Notice to Rescind NOT-OD-21-027 ""Notice of Clarification of SB1 Resubmission/Submission Policy""",9/20/2023,,,NIH,NIH,None,NOT-OD-23-184,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-184.html
"Notice of Participation of the National Institute on Aging (NIA) in RFA-NS-24-024, ""Role of Environmental Stress in the Health Inequities of Alzheimer's Disease-Related Dementias (ADRD) (R01 - Clinical Trial Not Allowed)""",9/20/2023,,,NIA,NIH,None,NOT-AG-23-049,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AG-23-049.html
Request for Information (RFI): Identifying Opportunities to Generate Research Molecular Characterization Data for the Childhood Cancer Data Initiative (CCDI),9/20/2023,,,NCI,NIH,None,NOT-CA-23-093,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-23-093.html
Notice of Upcoming Prize Competition Announcement for the Complement-Animal Research in Experimentation (Complement-ARIE) Challenge,9/20/2023,,,RMOD,NIH,None,NOT-RM-23-025,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-RM-23-025.html
Opportunities for HIV Cure Strategies at the Time of ART Initiation (R01 Clinical Trial Not Allowed),9/20/2023,9/7/2026,R01,NIAID,NIH,"NICHD, NIMH",PAR-23-297,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-297.html
Opportunities for HIV Cure Strategies at the Time of ART Initiation (R21 Clinical Trial Not Allowed),9/20/2023,9/7/2026,R21,NIAID,NIH,"NICHD, NIMH",PAR-23-296,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-296.html
NIDA REI: Academic Research Enhancement Award (AREA) Training a Diverse Data Science Workforce for Addiction Research (R15 Clinical Trial Not Allowed),9/20/2023,1/24/2024,R15,NIDA,NIH,None,RFA-DA-24-026,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-24-026.html
NIDA REI: Training a Diverse Data Science Workforce for Addiction Research (R25 Clinical Trial Not Allowed),9/20/2023,1/24/2024,R25,NIDA,NIH,None,RFA-DA-24-025,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-24-025.html
Notice of Intent to Publish a Funding Opportunity Announcement for CCRP Initiative: NIH Countermeasures Against Chemical Threats (CounterACT) Basic Research on Chemical Threats that Affect the Nervous System (R01 Clinical Trial Not Allowed),9/20/2023,,,NINDS,NIH,None,NOT-NS-24-008,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-24-008.html
NINR Request for Information (RFI): Advancing Nursing Research in Climate and Health,9/20/2023,,,NINR,NIH,None,NOT-NR-23-018,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NR-23-018.html
"Notice of Need to Expire and Reissue of RFA-MH-24-160, RFA-MH-24-161 and RFA-MH-24-162 ""Improving Choice, Use, and Equitable Implementation of Biomedical HIV Prevention for Women (Clinical Trial Optional R01, R21 and R34)""",9/20/2023,,,NIMH,NIH,None,NOT-MH-23-380,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-23-380.html
BRAIN Initiative: New Concepts and Early-Stage Research for Recording and Modulation in the Nervous System (R21) (Clinical Trial Not Allowed),9/19/2023,6/15/2026,R21,NEI,NIH,"NCCIH, NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCD, NIMH, NINDS, OBSSR",RFA-EY-23-001,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-EY-23-001.html
"Notice of Early Expiration of ""Notice of Special Interest (NOSI): Opportunities for HIV Cure Interventions at the Time of ART Initiation"", NOT-AI-22-072",9/19/2023,,,NIAID,NIH,None,NOT-AI-23-062,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-23-062.html
Computational Approaches for Validating Dimensional Constructs of Relevance to Psychopathology (R01 Clinical Trial Optional),9/19/2023,11/1/2023,R01,NIMH,NIH,None,PAR-23-307,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-307.html
Computationally-Defined Behaviors in Psychiatry (R21 Clinical Trial Optional),9/19/2023,11/1/2023,R21,NIMH,NIH,None,PAR-23-305,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-305.html
"Notice of Special Interest (NOSI):?Advancing Data Science Research in HIV: Responding to a Dynamic, Complex, and Evolving HIV Epidemic with Artificial Intelligence/Machine Learning",9/18/2023,1/7/2027,"R25,R15,R21,K08,K99/R00,K43,F31,F30,K01,T32,R03,R34,K23,R01,F32,K24",NIMH,NIH,None,NOT-MH-23-350,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-23-350.html
"Notice of Clarification of NIMH Research Priorities for RFA-ES-23-007 ""Exploratory Grants for Climate Change and Health Research Center Development (P20 Clinical Trial Optional)""",9/18/2023,,,NIMH,NIH,None,NOT-MH-23-385,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-23-385.html
Building an Integrated Laboratory System to Advance the Safety of Human and Animal Food,9/15/2023,10/23/2023,U2F,FDA,FDA,None,RFA-FD-24-004,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-24-004.html
NIH Final Updated Policy Guidance for Subaward/Consortium Written Agreements,9/15/2023,,,NIH,NIH,None,NOT-OD-23-182,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-182.html
Notice to Inform the Extramural Influenza Research Community of the Availability of Materials for Controlled Human Influenza Virus Infection Model (CHIVIM) Clinical Studies and Trials,9/15/2023,,,NIAID,NIH,None,NOT-AI-23-067,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-23-067.html
Notice of Technical Assistance Webinar and FAQs for NOT-HL-23-113 (NOSI): Promoting implementation research to address HIV-associated comorbidities and risk factors within well-established longitudinal studies (R01 CT Optional),9/15/2023,,,NHLBI,NIH,None,NOT-HL-23-111,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-23-111.html
"Notice of Correction to RFA-HD-24-007, Understanding and Mitigating Health Disparities experienced by People with Disabilities caused by Ableism (R01 Clinical Trial Optional)"".",9/14/2023,,,NCI,NIH,None,NOT-CA-23-088,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-23-088.html
Notice of Correction to Letter of Intent Due Dates in PAR-23-256 Feasibility Trials of the NIH Music-based Interventions Toolkit for Brain Disorders of Aging (R34 Clinical Trial Required),9/14/2023,,,NCCIH,NIH,None,NOT-AT-24-013,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AT-24-013.html
"Notice of Pre-Application Webinar for RFA-AG-24-033, State Dementia Care Research Center (U54 Clinical Trial Not Allowed)",9/14/2023,,,NIA,NIH,None,NOT-AG-23-046,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AG-23-046.html
Notice of Change to Funding Opportunity AHRQ Health Services Research Dissertation Program (R36),9/14/2023,,,AHRQ,AHRQ,None,NOT-HS-23-022,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HS-23-022.html
"Request for Information (RFI): Inviting Comments and Suggestions on Opportunities and Challenges for the Collection, Use, and Sharing of Real-World Data (RWD) including Electronic Health Records, for NIH Supported Biomedical and Behavioral Research",9/14/2023,,,OD,NIH,None,NOT-OD-23-180,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-180.html
Notice of Challenge Announcement: RADx Tech Fetal Monitoring Challenge,9/14/2023,,,NIBIB,NIH,NICHD,NOT-EB-23-017,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-EB-23-017.html
Consolidated Notice on NIMH Clinical Trials Policies,9/14/2023,,,NIMH,NIH,None,NOT-MH-23-375,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-23-375.html
"Notice of Special Interest (NOSI): Clinical and Translational Science Award (CTSA)
Program: Collaborative and Innovative Acceleration Award (UG3/UH3) (Clinical Trial Optional) for Advancing Recruitment through Trial Innovation Network (AR-TIN)",9/14/2023,10/17/2024,UG3/UH3,NCATS,NIH,NHGRI,NOT-TR-23-026,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-TR-23-026.html
"Notice of Correction to RFA-CA-23-042, The NCI Predoctoral to Postdoctoral Fellow Transition Award (F99/K00 Clinical Trial Not Allowed)",9/13/2023,,,NCI,NIH,None,NOT-CA-23-090,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-23-090.html
"NIAID and NIDDK Research Opportunities for New and ""At-Risk"" Investigators to Promote Workforce Diversity (R01 Clinical Trial Optional)",9/13/2023,9/7/2025,R01,NIAID,NIH,NIDDK,PAR-23-275,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-275.html
Pre-Application Webinar for RFA-NR-24-001: Firearm Injury Prevention in Community Healthcare Settings (R01 Clinical Trial Optional),9/13/2023,,,NINR,NIH,None,NOT-NR-23-017,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NR-23-017.html
Computational Models of Influenza Immunity (U01 Clinical Trial Not Allowed),9/13/2023,1/26/2024,U01,NIAID,NIH,None,RFA-AI-23-056,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-23-056.html
Notice of Special Interest (NOSI): Advancing Rheumatic Heart Disease Research (R01),9/13/2023,1/7/2027,R01,NHLBI,NIH,NIAID,NOT-HL-23-106,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-23-106.html
Human Virome  Characterization Centers (U54 Clinical Trial Not Allowed),9/13/2023,11/17/2023,U54,RMOD,NIH,None,RFA-RM-23-019,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-RM-23-019.html
Human Virome Program: Developing novel and innovative tools to interrogate and annotate the human virome (U01 Clinical Trial Not Allowed),9/13/2023,11/14/2023,U01,RMOD,NIH,None,RFA-RM-23-018,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-RM-23-018.html
Human Virome Program: Characterization of functional interactions between viruses and human and microbial hosts (U01 Clinical Trial Not Allowed),9/13/2023,11/15/2023,U01,RMOD,NIH,None,RFA-RM-23-017,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-RM-23-017.html
Consortium Organization and Data Collaboration Center (CODCC) for the Human Virome Program (HVP)  (U24 Clinical Trial Not Allowed),9/13/2023,11/29/2023,U24,RMOD,NIH,None,RFA-RM-23-016,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-RM-23-016.html
Findings of Research Misconduct,9/12/2023,,,OD,NIH,None,NOT-OD-23-181,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-181.html
Ruth L. Kirschstein National Research Service Award (NRSA) Individual Predoctoral Fellowship to Promote Diversity in Health-Related Research (Parent F31-Diversity),9/12/2023,9/7/2025,F31,NIH,NIH,"NCCIH, NCI, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NIGMS, NIMH, NIMHD, NINDS, NINR, NLM",PA-23-271,PA,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-23-271.html
Notice of Pre-Application Webinar for PAR-23-244: Population Approaches to Reducing Alcohol-related Cancer Risk (R01 Clinical Trial Optional),9/12/2023,,,NCI,NIH,None,NOT-CA-23-091,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-23-091.html
Cohort Studies of HIV/AIDS and Substance Use (U01 Clinical Trial Not Allowed),9/11/2023,8/16/2024,U01,NIDA,NIH,None,RFA-DA-25-003,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-25-003.html
Center for Exposome Research Coordination to Accelerate Precision Environmental Health (U24 Clinical Trial Not Allowed),9/11/2023,11/30/2023,U24,NIEHS,NIH,"ECHO, NCI, NIA, NIAMS, NINDS, ORWH",RFA-ES-23-010,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-ES-23-010.html
Notice of Correction to Page Limitation Instructions and Clarification for Milestones and Timeline Instructions in RFA-RM-23-012 Community Partnerships to Advance Science for Society (ComPASS): Health Equity Research Hubs (UC2 Clinical Trial Optional),9/11/2023,,,RMOD,NIH,None,NOT-RM-23-024,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-RM-23-024.html
"Notice announcing HEAL Initiative Technical Assistance Webinar: HEAL KIDS (Knowledge, Innovation and Discovery Studies) Pain:  Acute Pain Clinical Trials Program (U01 Clinical Trials and U24 Resource and Data Center)",9/11/2023,,,NICHD,NIH,None,NOT-HD-23-025,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-23-025.html
"Notice of Pre-Application Webinar for the PAR-23-248, Institutional Network Award for Promoting Kidney, Urologic, and Hematologic Research Training (U2C - Clinical Trial Not Allowed)",9/11/2023,,,NIDDK,NIH,None,NOT-DK-23-032,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DK-23-032.html
Intervention Research to Improve Native American Health (R34 Clinical Trial Optional),9/11/2023,1/7/2027,R34,NIDA,NIH,"NCCIH, NIAAA, NIDCR, NIEHS, NIMH, NINR, OBSSR, ODP, ORWH",PAR-23-285,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-285.html
Intervention Research to Improve Native American Health (R01 Clinical Trial Optional),9/11/2023,1/7/2027,R01,NIDA,NIH,"NIMH, NIMHD, NINR, NLM, OBSSR, ODP, ORWH, NCI, NIAAA, NIAID, NIAMS, NIBIB, NIDCR, NIDDK, NIEHS",PAR-23-298,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-298.html
Intervention Research to Improve Native American Health (R21 Clinical Trials Optional),9/11/2023,1/7/2027,R21,NIDA,NIH,"NCCIH, NCI, NIAAA, NIAMS, NIDCR, NIEHS, NIMH, NIMHD, NINR, NLM, OBSSR, ODP, ORWH",PAR-23-299,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-299.html
Notice of NIH Participation in the NIH-NSF Ecology and Evolution of Infectious Diseases Program,9/11/2023,,,FIC,NIH,"NIAID, NIGMS",NOT-TW-23-007,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-TW-23-007.html
"Notice of pre-Application Technical Assistance Webinar for RFA-DE-24-003 Collaborative Science to Achieve Disruptive Innovations in Dental, Oral and Craniofacial (DOC) Research (RM1 Clinical Trial Not Allowed)",9/11/2023,,,NIDCR,NIH,None,NOT-DE-23-016,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DE-23-016.html
HEAL Initiative: Developing an Evidence Base for Co-Occurring OUD-AUD Interventions (R34 Clinical Trial Optional),9/11/2023,12/14/2023,R34,NIAAA,NIH,"NCCIH, NIA, NIDA",RFA-AA-23-006,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-AA-23-006.html
HEAL Initiative: Developing an Evidence Base for Co-Occurring OUD-AUD Interventions (R01 Clinical Trial Optional),9/11/2023,12/14/2023,R01,NIAAA,NIH,"NCCIH, NIA, NIDA",RFA-AA-23-005,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-AA-23-005.html
Global Infectious Disease Research Administration Development Award for Low-and Middle-Income Country Institutions (G11 Clinical Trial Not Allowed),9/11/2023,3/13/2026,G11,NIAID,NIH,None,PAR-23-300,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-300.html
"Notice of Change to First Application Receipt Date, Addition of a Pre-Application Webinar, and Change in Eligibility Information and Personnel Costs in RFA-HG-23-002",9/8/2023,6/10/2024,,NHGRI,NIH,None,NOT-HG-23-050,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HG-23-050.html
"Notice to Extend Expiration Date for PAR-21-084 ""NIDCR Small Grant Program for New Investigators (R03 Clinical Trial Not Allowed)""",9/8/2023,,,NIDCR,NIH,None,NOT-DE-23-013,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DE-23-013.html
Data Coordinating Center for Approaches to Identifying Preteen Suicide Risk and Protective Factors (U24 Clinical Trial Not Allowed),9/8/2023,11/9/2023,U24,NIMH,NIH,None,RFA-MH-24-322,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-24-322.html
Approaches to Identifying Preteen Suicide Risk and Protective Factors (R01 Clinical Trial Not Allowed),9/8/2023,11/9/2023,R01,NIMH,NIH,None,RFA-MH-24-320,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-24-320.html
Continuation of the Childhood Liver Disease Research Network (ChiLDReN) Clinical Centers (U01 Clinical Trial Required),9/7/2023,11/8/2023,U01,NIDDK,NIH,None,RFA-DK-23-017,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-23-017.html
"Notice of Change: Extension of AIDS Due Date for PA-21-051 ""Ruth L. Kirschstein National Research Service Award (NRSA) Individual Fellows (Parent F31)""",9/7/2023,,,NIH,NIH,None,NOT-OD-23-177,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-177.html
Notice of Change to PA-23-291,9/7/2023,,,AHRQ,AHRQ,None,NOT-HS-23-021,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HS-23-021.html
Notice of Change to PA-23-290,9/7/2023,,,AHRQ,AHRQ,None,NOT-HS-23-020,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HS-23-020.html
Ruth L. Kirschstein National Research Service Award (NRSA) Individual Postdoctoral Fellowship (Parent F32),9/7/2023,9/7/2025,F32,NIH,NIH,"NCCIH, NCI, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NIGMS, NIMH, NIMHD, NINR",PA-23-262,PA,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-23-262.html
Ruth L. Kirschstein National Research Service Award (NRSA) Individual Fellowship for Students at Institutions Without NIH-Funded Institutional Predoctoral Dual-Degree Training Programs (Parent F30),9/7/2023,9/7/2025,F30,NIH,NIH,"NCCIH, NCI, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NIGMS, NIMH, NIMHD, NINDS, NINR",PA-23-261,PA,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-23-261.html
"Notice of NIAMS' Participation in PAR-23-109,  ""NIH Medical Scientist Partnership Program (FM1 Clinical Trial Not Allowed)""",9/7/2023,,,NIAMS,NIH,None,NOT-AR-23-023,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AR-23-023.html
"Notice of Change to Appendix Materials for PAR-22-030 ""Translational Efforts to Advance Gene-based Therapies for Ultra-Rare Neurological and Neuromuscular Disorders (U01 - Clinical Trial Optional)""",9/7/2023,,,NINDS,NIH,None,NOT-NS-23-110,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-23-110.html
